name-of-country,landmass,zone,area,population,language,religion,bars,stripes,colours,red,green,blue,gold,white,black,orange,mainhue,circles,corsses,saltires,quarters,sunstrars,crescent,triangle,icon,animate,text,topleft,botright
Syria,Asia,NE,185,10,Arabic,Muslim,0,3,4,present,present,absent,absent,present,present,absent,red,0,0,0,0,2,absent,absent,absent,absent,absent,red,black
Taiwan,Asia,NE,36,18,Chinese,Buddhist,0,0,3,present,absent,present,absent,present,absent,absent,red,1,0,0,1,1,absent,absent,absent,absent,absent,blue,red
Tanzania,Africa,SE,945,18,Others,Ethnic,0,0,4,absent,present,present,present,absent,present,absent,green,0,0,0,0,0,absent,present,absent,absent,absent,green,blue
Thailand,Asia,NE,514,49,Others,Buddhist,0,5,3,present,absent,present,absent,present,absent,absent,red,0,0,0,0,0,absent,absent,absent,absent,absent,red,red
Togo,Africa,NE,57,2,French,Others,0,5,4,present,present,absent,present,present,absent,absent,green,0,0,0,1,1,absent,absent,absent,absent,absent,red,green
Tonga,Oceania,SE,1,0,Others,Other-Christian,0,0,2,present,absent,absent,absent,present,absent,absent,red,0,1,0,1,0,absent,absent,absent,absent,absent,white,red
Trinidad-Tobago,S.America,NW,5,1,English,Other-Christian,0,0,3,present,absent,absent,absent,present,present,absent,red,0,0,0,0,0,absent,present,absent,absent,absent,white,white
Tunisia,Africa,NE,164,7,Arabic,Muslim,0,0,2,present,absent,absent,absent,present,absent,absent,red,1,0,0,0,1,present,absent,absent,absent,absent,red,red
Turkey,Asia,NE,781,45,Japanese/Turkish/Finnish/Magyar,Muslim,0,0,2,present,absent,absent,absent,present,absent,absent,red,0,0,0,0,1,present,absent,absent,absent,absent,red,red
Turks-Cocos-Islands,N.America,NW,0,0,English,Other-Christian,0,0,6,present,present,present,present,present,absent,present,blue,0,1,1,1,0,absent,absent,present,present,absent,white,blue
Tuvalu,Oceania,SE,0,0,English,Other-Christian,0,0,5,present,absent,present,present,present,absent,absent,blue,0,1,1,1,9,absent,absent,absent,absent,absent,white,blue
UAE,Asia,NE,84,1,Arabic,Muslim,1,3,4,present,present,absent,absent,present,present,absent,green,0,0,0,0,0,absent,absent,absent,absent,absent,red,black
Uganda,Africa,NE,236,13,Others,Ethnic,0,6,5,present,absent,absent,present,present,present,absent,gold,1,0,0,0,0,absent,absent,absent,present,absent,black,red
UK,Europe,NW,245,56,English,Other-Christian,0,0,3,present,absent,present,absent,present,absent,absent,red,0,1,1,0,0,absent,absent,absent,absent,absent,white,red
Uruguay,S.America, SW,178,3,Spanish,Catholic,0,9,3,absent,absent,present,present,present,absent,absent,white,0,0,0,1,1,absent,absent,absent,absent,absent,white,white
US-Virgin-Isles,N.America,NW,0,0,English,Other-Christian,0,0,6,present,present,present,present,present,absent,absent,white,0,0,0,0,0,absent,absent,present,present,present,white,white
USA,N.America,NW,9363,231,English,Other-Christian,0,13,3,present,absent,present,absent,present,absent,absent,white,0,0,0,1,50,absent,absent,absent,absent,absent,blue,red
USSR,Asia,NE,22402,274,Slavic,Marxist,0,0,2,present,absent,absent,present,absent,absent,absent,red,0,0,0,0,1,absent,absent,present,absent,absent,red,red
Vanuatu,Oceania,SE,15,0,Other-Indo-European,Other-Christian,0,0,4,present,present,absent,present,absent,present,absent,red,0,0,0,0,0,absent,present,absent,present,absent,black,green
Vatican-City,Europe,NE,0,0,Other-Indo-European,Catholic,2,0,4,present,absent,absent,present,present,present,absent,gold,0,0,0,0,0,absent,absent,present,absent,absent,gold,white
Venezuela,S.America,NW,912,15,Spanish,Catholic,0,3,7,present,present,present,present,present,present,present,red,0,0,0,0,7,absent,absent,present,present,absent,gold,red
Vietnam,Asia,NE,333,60,Others,Marxist,0,0,2,present,absent,absent,present,absent,absent,absent,red,0,0,0,0,1,absent,absent,absent,absent,absent,red,red
Western-Samoa,Oceania, SW,3,0,English,Other-Christian,0,0,3,present,absent,present,absent,present,absent,absent,red,0,0,0,1,5,absent,absent,absent,absent,absent,blue,red
Yugoslavia,Europe,NE,256,22,Other-Indo-European,Marxist,0,3,4,present,absent,present,present,present,absent,absent,red,0,0,0,0,1,absent,absent,absent,absent,absent,blue,red
Zaire,Africa,SE,905,28,Others,Ethnic,0,0,4,present,present,absent,present,absent,absent,present,green,1,0,0,0,0,absent,absent,present,present,absent,green,green
Zambia,Africa,SE,753,6,Others,Ethnic,3,0,4,present,present,absent,absent,absent,present,present,green,0,0,0,0,0,absent,absent,absent,present,absent,green,brown
Zimbabwe,Africa,SE,391,8,Others,Ethnic,0,7,5,present,present,absent,present,present,present,absent,green,0,0,0,0,1,absent,present,present,present,absent,green,green
